Bus Name,Routes
Mirpur Metro Services (মিরপুর মেট্রো সার্ভিস),⇄ Azimpur (আজিমপুর) ⇄ Nilkhet (নীলক্ষেত) ⇄ New Market (নিউ মার্কেট) ⇄ Science Lab (বিজ্ঞান গবেষণা প্রযুক্তি) ⇄ City College (সিটি কলেজ) ⇄ Kalabagan (কলাবাগান) ⇄ Dhanmondi 32 (ধানমন্ডি ৩২) ⇄ Dhanmondi 27 (ধানমন্ডি ২৭) ⇄ Asad Gate (আসাদ গেট) ⇄ College Gate (কলেজ গেট) ⇄ Shishu Mela (শিশু মেলা) ⇄ Shyamoli (শ্যামলী) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Darussalam (দারুস্সালাম) ⇄ Technical (টেকনিক্যাল) ⇄ Bangla College (বাংলা কলেজ) ⇄ Tolarbag (টোলারবাগ) ⇄ Ansar Camp (আনসার ক্যাম্প) ⇄ Mirpur 1 (মিরপুর ১)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Mirpur Link (মিরপুর লিংক),⇄ ECB Square (ইসিবি স্কয়ার) ⇄ Purobi (পুরবী) ⇄ Mirpur 11 (মিরপুর ১১) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Kazipara (কাজীপাড়া) ⇄ Shewrapara (শেওড়াপাড়া) ⇄ Agargaon (আগারগাঁও) ⇄ Khamar Bari (খামার বাড়ি) ⇄ Dhanmondi 27 (ধানমন্ডি ২৭) ⇄ Dhanmondi 32 (ধানমন্ডি ৩২) ⇄ City College (সিটি কলেজ) ⇄ Nilkhet (নীলক্ষেত) ⇄ New Market (নিউ মার্কেট) ⇄ Azimpur (আজিমপুর)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Mirpur Mission (মিরপুর মিশন),⇄ Chittagong Road (চট্টগ্রাম রোড) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Khamar Bari (খামার বাড়ি) ⇄ Farmgate (ফার্মগেট) ⇄ Press Club (প্রেস ক্লাব) ⇄ Motijheel (মতিঝিল)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Mirpur Transport Service (মিরপুর ট্রান্সপোর্ট সার্ভিস),⇄ Gulistan (গুলিস্তান) ⇄ Golap Shah Mazar (গোলাপ শাহ মাজার) ⇄ GPO (জিপিও) ⇄ Paltan (পল্টন) ⇄ Press Club (প্রেস ক্লাব) ⇄ High Court (উচ্চ আদালত) ⇄ Matsya Bhaban (মৎস্য ভবন) ⇄ Shahbag (শাহবাগ) ⇄ Bangla Motor (বাংলা মোটর) ⇄ Kawran Bazar (কাওরান বাজার) ⇄ Farmgate (ফার্মগেট) ⇄ Khamar Bari (খামার বাড়ি) ⇄ Agargaon (আগারগাঁও) ⇄ Taltola (তালতলা) ⇄ Shewrapara (শেওড়াপাড়া) ⇄ Kazipara (কাজীপাড়া) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 11 (মিরপুর ১১) ⇄ Purobi (পুরবী) ⇄ Pallabi (পল্লবী) ⇄ Mirpur 12 (মিরপুর ১২)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Mirpur United Service (মিরপুর ইউনাইটেড সার্ভিস),⇄ Sadarghat (সদরঘাট) ⇄ Ray Saheb Bazar (রায় সাহেব বাজার) ⇄ Naya Bazar (নয়া বাজার) ⇄ Golap Shah Mazar (গোলাপ শাহ মাজার) ⇄ GPO (জিপিও) ⇄ Paltan (পল্টন) ⇄ Press Club (প্রেস ক্লাব) ⇄ High Court (উচ্চ আদালত) ⇄ Matsya Bhaban (মৎস্য ভবন) ⇄ Shahbag (শাহবাগ) ⇄ Bangla Motor (বাংলা মোটর) ⇄ Kawran Bazar (কাওরান বাজার) ⇄ Farmgate (ফার্মগেট) ⇄ Khamar Bari (খামার বাড়ি) ⇄ Agargaon (আগারগাঁও) ⇄ Taltola (তালতলা) ⇄ Shewrapara (শেওড়াপাড়া) ⇄ Kazipara (কাজীপাড়া) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 11 (মিরপুর ১১) ⇄ Purobi (পুরবী) ⇄ Pallabi (পল্লবী) ⇄ Mirpur 12 (মিরপুর ১২)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
MM Lovely (এম এম লাভলী),⇄ Savar (সাভার) ⇄ Hemayetpur (হেমায়েতপুর) ⇄ Amin Bazar (আমিন বাজার) ⇄ Gabtoli (গাবতলি) ⇄ Technical (টেকনিক্যাল) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Shyamoli (শ্যামলী) ⇄ Shishu Mela (শিশু মেলা) ⇄ College Gate (কলেজ গেট) ⇄ Asad Gate (আসাদ গেট) ⇄ Khamar Bari (খামার বাড়ি) ⇄ Farmgate (ফার্মগেট) ⇄ Kawran Bazar (কাওরান বাজার) ⇄ Bangla Motor (বাংলা মোটর) ⇄ Mogbazar (মগবাজার) ⇄ Mouchak (মৌচাক) ⇄ Malibaag Moor (মালিবাগ মোড়) ⇄ Mugdapara (মুগদাপাড়া) ⇄ Rajarbag (রাজারবাগ) ⇄ Khilgaon flyover (খিলগাঁও ফ্লাইওভার) ⇄ Bashabo (বাসাবো) ⇄ Mugdapara (মুগদাপাড়া) ⇄ Manik Nagar (মানিক নগর) ⇄ Golapbagh Chowrasta (গোলাপবাগ চৌরাস্তা) ⇄ Sayapabad (সায়াপাবাদ) ⇄ Janapoth Moor (জনপথ মোড়) ⇄ Jatrabari (যাত্রাবাড়ি) ⇄ Kazla (কাজলা) ⇄ Shonir Akhra (শনির আখরা) ⇄ Rayerbag (রায়েরবাগ) ⇄ Matuail (মাতুয়াইল) ⇄ Sign Board (সাইন বোর্ড)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Seating Service 
Modhumita (মধুমিতা),⇄ Chiriyakhana (চিরিয়াখানা) ⇄ Sony Cinema Hall (সনি সিনেমা হল) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Ansar Camp (আনসার ক্যাম্প) ⇄ Technical (টেকনিক্যাল) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Shyamoli (শ্যামলী) ⇄ Shishu Mela (শিশু মেলা) ⇄ Agargaon (আগারগাঁও) ⇄ Bijoy Sarani (বিজয় সারাণী) ⇄ Jahangir Gate (জাহাঙ্গীর গেট) ⇄ Mohakhali (মহাখালী) ⇄ Wireless (ওয়্যারলেস) ⇄ Abdullahpur (আব্দুল্লাহপুর) ⇄ Badda Link Road (বাড্ডা লিংক রোড) ⇄ Merul Badda (মেরুল বাড্ডা) ⇄ Rampura Bridge (রামপুরা ব্রিজ) ⇄ Banasree (বনশ্রী)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Mohona(মোহনা),⇄ Mirpur 14 (মিরপুর ১৪) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Sony Cinema Hall (সনি সিনেমা হল) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Mazar Road (মাজার রোড) ⇄ Konabari (কোনাবাড়ী) ⇄ Rupnagar (রূপনগর) ⇄ Beribadh (বেড়িবাঁধ) ⇄ Birulia (বিরুলিয়া) ⇄ Ashulia (আশুলিয়া) ⇄ Zirabo (জিরাবো) ⇄ Fantasy Kingdom (ফ্যান্টাসি কিংডম)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Moitri (মৈত্রী),⇄ Mohammadpur (মোহাম্মদপুর) ⇄ Shankar (শঙ্কর) ⇄ Star Kabab (স্টার কাবাব) ⇄ Dhanmondi 15 (ধানমন্ডি ১৫) ⇄ Jigatola (জিগাতোলা) ⇄ City College (সিটি কলেজ) ⇄ Science Lab (বিজ্ঞান গবেষণা প্রযুক্তি) ⇄ Bata Signal (বাটা সিগন্যাল) ⇄ Shahbag (শাহবাগ) ⇄ Matsya Bhaban (মৎস্য ভবন) ⇄ High Court (উচ্চ আদালত) ⇄ Press Club (প্রেস ক্লাব) ⇄ Paltan (পল্টন) ⇄ GPO (জিপিও) ⇄ Gulistan (গুলিস্তান) ⇄ Motijheel (মতিঝিল) ⇄ Arambagh (আরামবাগ)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Moumita (মৌমিতা),⇄ Chasara (চাষারা) ⇄ Shibu Market (শিবু মার্কেট) ⇄ Jalkuri (জলকুড়ি) ⇄ Sign Board (সাইন বোর্ড) ⇄ Matuail (মাতুয়াইল) ⇄ Rayerbag (রায়েরবাগ) ⇄ Shonir Akhra (শনির আখরা) ⇄ Jatrabari (যাত্রাবাড়ি) ⇄ Sayapabad (সায়াপাবাদ) ⇄ Gulistan (গুলিস্তান) ⇄ Chankhar Pul (চাঁকহার পুল) ⇄ Bakshi Bazar (বকশী বাজার) ⇄ Azimpur (আজিমপুর) ⇄ Nilkhet (নীলক্ষেত) ⇄ New Market (নিউ মার্কেট) ⇄ City College (সিটি কলেজ) ⇄ Kalabagan (কলাবাগান) ⇄ Dhanmondi 32 (ধানমন্ডি ৩২) ⇄ Dhanmondi 27 (ধানমন্ডি ২৭) ⇄ Asad Gate (আসাদ গেট) ⇄ College Gate (কলেজ গেট) ⇄ Shishu Mela (শিশু মেলা) ⇄ Shyamoli (শ্যামলী) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Darussalam (দারুস্সালাম) ⇄ Technical (টেকনিক্যাল) ⇄ Gabtoli (গাবতলি) ⇄ Amin Bazar (আমিন বাজার) ⇄ Hemayetpur (হেমায়েতপুর) ⇄ Savar (সাভার) ⇄ Baipayl (বাইপাইল) ⇄ Zirani Bazar (জিরানী বাজার) ⇄ Nandan Park (নন্দন পার্ক) ⇄ Chandra (চন্দ্রা)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
MTCL-2 (এমটিসিএল ২),⇄ Mohammadpur (মোহাম্মদপুর) ⇄ Asad Gate (আসাদ গেট) ⇄ Dhanmondi 27 (ধানমন্ডি ২৭) ⇄ Dhanmondi 32 (ধানমন্ডি ৩২) ⇄ Shukrabad (শুক্রাবাদ) ⇄ Kalabagan (কলাবাগান) ⇄ City College (সিটি কলেজ) ⇄ Science Lab (বিজ্ঞান গবেষণা প্রযুক্তি) ⇄ Bata Signal (বাটা সিগন্যাল) ⇄ Shahbag (শাহবাগ) ⇄ Matsya Bhaban (মৎস্য ভবন) ⇄ High Court (উচ্চ আদালত) ⇄ Press Club (প্রেস ক্লাব) ⇄ Paltan (পল্টন) ⇄ GPO (জিপিও) ⇄ Gulistan (গুলিস্তান) ⇄ Motijheel (মতিঝিল) ⇄ Arambagh (আরামবাগ) ⇄ Fantasy Kingdom (ফ্যান্টাসি কিংডম)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Nur E Makka (নূর এ মক্কা ),⇄ Chiriyakhana (চিরিয়াখানা) ⇄ Sony Cinema Hall (সনি সিনেমা হল) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 11 (মিরপুর ১১) ⇄ Purobi (পুরবী) ⇄ Kalshi (কালশী) ⇄ ECB Square (ইসিবি স্কয়ার) ⇄ MES (এমইএস) ⇄ Shewra (শেওড়া) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Jamuna Future Park (যমুনা ফিউচার পার্ক) ⇄ Bashundhara (বসুন্ধরা) ⇄ Nadda (নদ্দা) ⇄ Notun Bazar (নতুন বাজার) ⇄ Bashtola (বাঁশতলা) ⇄ Shahjadpur (শাহজাদপুর) ⇄ Uttar Badda (উত্তর বাড্ডা) ⇄ Badda (বাড্ডা) ⇄ Madhya Badda (মধ্য বাড্ডা) ⇄ Merul Badda (মেরুল বাড্ডা) ⇄ Rampura Bridge (রামপুরা ব্রিজ) ⇄ Rampura Bazar (রামপুরা বাজার) ⇄ Hazipara (হাজীপাড়া) ⇄ Malibagh Railgate (মালিবাগ রেলগেট)⏰ Starting Time: 05:30 AM & Closing Time: 10:30 PM🚌 Seating Service Type: Seating Service 
Nabakali (নবকালি),⇄ Chiriyakhana (চিরিয়াখানা) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Ansar Camp (আনসার ক্যাম্প) ⇄ Technical (টেকনিক্যাল) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Shyamoli (শ্যামলী) ⇄ Shishu Mela (শিশু মেলা) ⇄ College Gate (কলেজ গেট) ⇄ Asad Gate (আসাদ গেট) ⇄ Dhanmondi 27 (ধানমন্ডি ২৭) ⇄ Shukrabad (শুক্রাবাদ) ⇄ Dhanmondi 32 (ধানমন্ডি ৩২) ⇄ Kalabagan (কলাবাগান) ⇄ Science Lab (বিজ্ঞান গবেষণা প্রযুক্তি) ⇄ Katabon (কাটাবন) ⇄ Shahbag (শাহবাগ) ⇄ High Court (উচ্চ আদালত) ⇄ Fulbaria (ফুলবাড়িয়া) ⇄ Naya Bazar (নয়া বাজার) ⇄ Babubazar (বাবুবাজার) ⇄ Keraniganj (কেরাণীগঞ্জ)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
New Vision (নিউ ভিশন),⇄ Chiriyakhana (চিরিয়াখানা) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Ansar Camp (আনসার ক্যাম্প) ⇄ Technical (টেকনিক্যাল) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Shyamoli (শ্যামলী) ⇄ Shishu Mela (শিশু মেলা) ⇄ College Gate (কলেজ গেট) ⇄ Asad Gate (আসাদ গেট) ⇄ Khamar Bari (খামার বাড়ি) ⇄ Farmgate (ফার্মগেট) ⇄ Kawran Bazar (কাওরান বাজার) ⇄ Bangla Motor (বাংলা মোটর) ⇄ Shahbag (শাহবাগ) ⇄ High Court (উচ্চ আদালত) ⇄ Press Club (প্রেস ক্লাব) ⇄ Paltan (পল্টন) ⇄ Dainik Bangla Moor (দৈনিক বাংলা মোড়) ⇄ Motijheel (মতিঝিল)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Nilachol (নিলাচল),⇄ Chittagong Road (চট্টগ্রাম রোড) ⇄ Sign Board (সাইন বোর্ড) ⇄ Matuail (মাতুয়াইল) ⇄ Rayerbag (রায়েরবাগ) ⇄ Shonir Akhra (শনির আখরা) ⇄ Jatrabari (যাত্রাবাড়ি) ⇄ Sayapabad (সায়াপাবাদ) ⇄ Gulistan (গুলিস্তান) ⇄ Chankhar Pul (চাঁকহার পুল) ⇄ Bakshi Bazar (বকশী বাজার) ⇄ Azimpur (আজিমপুর) ⇄ Nilkhet (নীলক্ষেত) ⇄ New Market (নিউ মার্কেট) ⇄ City College (সিটি কলেজ) ⇄ Kalabagan (কলাবাগান) ⇄ Dhanmondi 32 (ধানমন্ডি ৩২) ⇄ Dhanmondi 27 (ধানমন্ডি ২৭) ⇄ Asad Gate (আসাদ গেট) ⇄ College Gate (কলেজ গেট) ⇄ Shishu Mela (শিশু মেলা) ⇄ Shyamoli (শ্যামলী) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Darussalam (দারুস্সালাম) ⇄ Technical (টেকনিক্যাল) ⇄ Gabtoli (গাবতলি) ⇄ Amin Bazar (আমিন বাজার) ⇄ Hemayetpur (হেমায়েতপুর) ⇄ Savar (সাভার) ⇄ Nobinagar (নবীনগর) ⇄ Manikganj (মানিকগঞ্জ) ⇄ Paturia (পাটুরিয়া)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Nishorgo (নিসর্গ),⇄ Mirpur 14 (মিরপুর ১৪) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Kazipara (কাজীপাড়া) ⇄ Shewrapara (শেওড়াপাড়া) ⇄ Taltola (তালতলা) ⇄ Agargaon (আগারগাঁও) ⇄ Asad Gate (আসাদ গেট) ⇄ Shyamoli (শ্যামলী) ⇄ Mohammadpur (মোহাম্মদপুর) ⇄ Shankar (শঙ্কর) ⇄ Dhanmondi 15 (ধানমন্ডি ১৫) ⇄ Jigatola (জিগাতোলা) ⇄ Science Lab (বিজ্ঞান গবেষণা প্রযুক্তি) ⇄ New Market (নিউ মার্কেট) ⇄ Nilkhet (নীলক্ষেত) ⇄ Eden College (ইডেন কলেজ) ⇄ Azimpur (আজিমপুর)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Omama International (ওমামা ইন্টারন্যাশনাল বাস),⇄ Motijheel (মতিঝিল) ⇄ Dainik Bangla Moor (দৈনিক বাংলা মোড়) ⇄ Paltan (পল্টন) ⇄ Press Club (প্রেস ক্লাব) ⇄ Matsya Bhaban (মৎস্য ভবন) ⇄ High Court (উচ্চ আদালত) ⇄ Shahbag (শাহবাগ) ⇄ Bangla Motor (বাংলা মোটর) ⇄ Kawran Bazar (কাওরান বাজার) ⇄ Farmgate (ফার্মগেট) ⇄ Jahangir Gate (জাহাঙ্গীর গেট) ⇄ Mohakhali (মহাখালী) ⇄ Chairman Bari (চেয়ারম্যান বাড়ী) ⇄ Sainik Club (সৈনিক ক্লাব) ⇄ Banani (বনানী) ⇄ Kakali (কাকলী) ⇄ Staff Road (স্টাফ রোড) ⇄ MES (এমইএস) ⇄ Shewra (শেওড়া) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Khilkhet (খিলক্ষেত) ⇄ Airport (বিমানবন্দর)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
One Transport (ওয়ান ট্রান্সপোর্ট),⇄ Nandan Park (নন্দন পার্ক) ⇄ Zirani Bazar (জিরানী বাজার) ⇄ Baipayl (বাইপাইল) ⇄ Nobinagar (নবীনগর) ⇄ Savar (সাভার) ⇄ Hemayetpur (হেমায়েতপুর) ⇄ Amin Bazar (আমিন বাজার) ⇄ Gabtoli (গাবতলি) ⇄ Technical (টেকনিক্যাল) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Shyamoli (শ্যামলী) ⇄ Shishu Mela (শিশু মেলা) ⇄ College Gate (কলেজ গেট) ⇄ Asad Gate (আসাদ গেট) ⇄ Khamar Bari (খামার বাড়ি) ⇄ Farmgate (ফার্মগেট) ⇄ Kawran Bazar (কাওরান বাজার) ⇄ Bangla Motor (বাংলা মোটর) ⇄ Shahbag (শাহবাগ) ⇄ High Court (উচ্চ আদালত) ⇄ Press Club (প্রেস ক্লাব) ⇄ Paltan (পল্টন) ⇄ GPO (জিপিও) ⇄ Gulistan (গুলিস্তান) ⇄ Motijheel (মতিঝিল)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Pallabi Local Service (পল্লবী লোকাল সার্ভিস),⇄ Asad Gate (আসাদ গেট) ⇄ College Gate (কলেজ গেট) ⇄ Shishu Mela (শিশু মেলা) ⇄ Shyamoli (শ্যামলী) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Technical (টেকনিক্যাল) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Sony Cinema Hall (সনি সিনেমা হল) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Chalantika Mor (চালানটিকা মোড়) ⇄ Mirpur 6 (মিরপুর ৬) ⇄ Mirpur 11 (মিরপুর ১১) ⇄ Mirpur 12 (মিরপুর ১২)⏰ Starting Time: 05:30 AM & Closing Time: 10:30 PM🚌 Seating Service Type: Semi-Seating Service 
Pallabi Super (পল্লবী সুপার),⇄ Gabtoli (গাবতলি) ⇄ Technical (টেকনিক্যাল) ⇄ Ansar Camp (আনসার ক্যাম্প) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Sony Cinema Hall (সনি সিনেমা হল) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 11 (মিরপুর ১১) ⇄ Purobi (পুরবী) ⇄ Kalshi (কালশী) ⇄ ECB Square (ইসিবি স্কয়ার) ⇄ MES (এমইএস) ⇄ Shewra (শেওড়া) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Khilkhet (খিলক্ষেত) ⇄ Airport (বিমানবন্দর) ⇄ Jashimuddin (Uttara) (জসিমউদ্দিন - উত্তরা) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ Azampur (আজমপুর) ⇄ House Building (হাউজ বিল্ডিং) ⇄ Abdullahpur (আব্দুল্লাহপুর) ⇄ Kamarpara (কামারপাড়া)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Paristhan (পরিস্থান),⇄ Bosila (বসিলা) ⇄ Mohammadpur (মোহাম্মদপুর) ⇄ Asad Gate (আসাদ গেট) ⇄ College Gate (কলেজ গেট) ⇄ Shyamoli (শ্যামলী) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Darussalam (দারুস্সালাম) ⇄ Technical (টেকনিক্যাল) ⇄ Bangla College (বাংলা কলেজ) ⇄ Tolarbag (টোলারবাগ) ⇄ Ansar Camp (আনসার ক্যাম্প) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 11 (মিরপুর ১১) ⇄ Purobi (পুরবী) ⇄ Kalshi (কালশী) ⇄ ECB Square (ইসিবি স্কয়ার) ⇄ MES (এমইএস) ⇄ Shewra (শেওড়া) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Khilkhet (খিলক্ষেত) ⇄ Airport (বিমানবন্দর) ⇄ Jashimuddin (Uttara) (জসিমউদ্দিন - উত্তরা) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ House Building (হাউজ বিল্ডিং) ⇄ Abdullahpur (আব্দুল্লাহপুর)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Power Paribahan (পাওয়ার পরিবহন),⇄ Mirpur 14 (মিরপুর ১৪) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Sony Cinema Hall (সনি সিনেমা হল) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Mazar Road (মাজার রোড) ⇄ Konabari (কোনাবাড়ী) ⇄ Rupnagar (রূপনগর) ⇄ Beribadh (বেড়িবাঁধ) ⇄ Birulia (বিরুলিয়া) ⇄ Ashulia (আশুলিয়া) ⇄ Zirabo (জিরাবো) ⇄ Narsinghapur (নরসিংহপুর) ⇄ Surabari (সুরাবাড়ী) ⇄ Jarun (যারুন) ⇄ Konabari (কোনাবাড়ী)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Prattay (প্রত্যয়),⇄ Gabtoli (গাবতলি) ⇄ Beribadh Tin Rastar Moor (বেড়িবাঁধ তিন রাস্তার মোড়) ⇄ Rayer Bazar (রায়ের বাজার) ⇄ Sikder Medical College (সিকদার মেডিকেল কলেজ) ⇄ Hazaribag (হাজারিবাগ) ⇄ Kamrangirchar (কামরাঙ্গীরচর) ⇄ Showari Ghat (শোয়ারী ঘাট) ⇄ Babubazar (বাবুবাজার)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Prochesta (প্রচেষ্টা),⇄ Maowa (মাওয়া) ⇄ Keraniganj (কেরাণীগঞ্জ) ⇄ Babubazar (বাবুবাজার) ⇄ Naya Bazar (নয়া বাজার) ⇄ Golap Shah Mazar (গোলাপ শাহ মাজার) ⇄ GPO (জিপিও) ⇄ Paltan (পল্টন) ⇄ Kakrail (কাকরাইল) ⇄ Shantinagar (শান্তিনগর) ⇄ Malibaag Moor (মালিবাগ মোড়) ⇄ Mouchak (মৌচাক) ⇄ Malibagh Railgate (মালিবাগ রেলগেট) ⇄ Hazipara (হাজীপাড়া) ⇄ Rampura Bazar (রামপুরা বাজার) ⇄ Rampura Bridge (রামপুরা ব্রিজ) ⇄ Merul Badda (মেরুল বাড্ডা) ⇄ Badda (বাড্ডা) ⇄ Uttar Badda (উত্তর বাড্ডা) ⇄ Shahjadpur (শাহজাদপুর) ⇄ Bashtola (বাঁশতলা) ⇄ Notun Bazar (নতুন বাজার) ⇄ Nadda (নদ্দা) ⇄ Bashundhara (বসুন্ধরা) ⇄ Jamuna Future Park (যমুনা ফিউচার পার্ক) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Khilkhet (খিলক্ষেত) ⇄ Airport (বিমানবন্দর) ⇄ Jashimuddin (Uttara) (জসিমউদ্দিন - উত্তরা) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ Azampur (আজমপুর) ⇄ House Building (হাউজ বিল্ডিং) ⇄ Abdullahpur (আব্দুল্লাহপুর)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Projapati (প্রজাপতি),⇄ Bosila (বসিলা) ⇄ Mohammadpur (মোহাম্মদপুর) ⇄ Asad Gate (আসাদ গেট) ⇄ College Gate (কলেজ গেট) ⇄ Shyamoli (শ্যামলী) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Darussalam (দারুস্সালাম) ⇄ Technical (টেকনিক্যাল) ⇄ Bangla College (বাংলা কলেজ) ⇄ Ansar Camp (আনসার ক্যাম্প) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 11 (মিরপুর ১১) ⇄ Purobi (পুরবী) ⇄ Kalshi (কালশী) ⇄ ECB Square (ইসিবি স্কয়ার) ⇄ MES (এমইএস) ⇄ Shewra (শেওড়া) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Khilkhet (খিলক্ষেত) ⇄ Airport (বিমানবন্দর) ⇄ Jashimuddin (Uttara) (জসিমউদ্দিন - উত্তরা) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ House Building (হাউজ বিল্ডিং) ⇄ Abdullahpur (আব্দুল্লাহপুর) ⇄ Kamarpara (কামারপাড়া)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
