Shelf Location,Call Number Range,Subjects / Description,Floor
38A-38B,QA76.6.H67 - QA76.73.C15K47,"Computer Algorithm, HTML, Program Design, Unix, Programming Language, Internet, WWW, Haskell, Java, C++, Object Oriented Design, MPI, Assembly Language, Programming With C",4th & 5th
38A-38B,QA76.73.C15K49 - QA76.73.J38527,"C, C++, Numerical Programming, Algorithms in C, Cobol, Fortran, Java",4th & 5th
39A-39B,QA76.73J3853283 - QA76.76.063,"Java, Algorithms, Operating Systems, Pascal, Perl, PHP, Mysql, Python, Software Engineering, Compilers, XML, Novel Dos, Quality Software Management",4th & 5th
39A-39B,QA76.76.063A3653 - QA76.9.A73H46,"Operating systems, Software Testing Techniques, Agiletechniques, IBM PC, Intel, Neutral Networks, Quantum Computation, Security, CISSP, Cryptography, Computer Architecture",4th & 5th
40A-40B,QA76.9.A73H46 - QA76.9.D35L57,"Computer Architecture, MySQL Server, Linux, Computer, Simulation Modeling and Analysis, Database System, Access, Oracle, Fox-pro",4th & 5th
40A-40B,QA76.9.D3L592 - QA76.9.S88K45,"Access, Database Management System, SQL, Social Networks, Pascal, Computer Network, Discrete Mathematics, Computer Ethics, System Analysis and Design",4th & 5th
41A-41B,QA76.9.S88K45 - QC174.12.T69,"System Analysis & Design, Mechanics, Mathematics, Astronomy, Solar System, Galaxy, Atomic and Nuclear Physics, Quantum Mechanics",4th & 5th
41A-41B,QC174.12.Z34 - QC21.3.R45,"Quantum Mechanics, Statistical Mechanics, Gravity, Modern Physics, Optics",4th & 5th
42A-42B,QC21.3.S4674 - QC680G74,"Modern Physics, Thermal Physics, Organic Compounds, Electricity, Magnetism, Black Holes, Electromagnetic Waves, Optoelectronics",4th & 5th
42A-42B,QC680.G74 - SB189.6,"Electromagnetics, Nuclear & Reactor, Gravity, Space Science, Atmosphere, Weather, Climate Change, Meteorology, Agriculture, Soil",4th & 5th
43A-43B,SB191.M2A23 - T385.B6818,"Agriculture, Environment, Biotechnology, Plant Diseases, Pest & Pesticides, Forest, Livestock, Fisheries, Aquaculture, Technology, Engineering, Drawing",4th & 5th
43A-43B,T385.C54855 - T58.6.B87,"Graphics, Photoshop, Technology, Management, Quantitative, Analysis, Management Science, Operation Research, Information System",4th & 5th
44A-44B,T58.6.L376 - TA338.G7D46,"Management Information Systems, Civil Engineering, Image Processing, Engineering Economy, Fiber Optics, Engineering Mathematics",4th & 5th
44A-44B,TA340.R67 - TA710.5.A38,"Probability, Statistics, Engineering Mechanics, Fluid Mechanics, Material Science, Astronomy, Geotechnical Engineering, Soil & Rock",4th & 5th
45A-45B,TC163.S95 - TD195.E49R47,"Soil Mechanism, Hydrology, Water Resources Engineering, Transport Method, Irrigation, Environmental Engineering, Environmental Science",4th & 5th
45A-45B,TD195.E49E42 - TD940.S26,"Environmental Effects & Implications, Chemical Pollution, Flood, Water Management, Wastewater Engineering, Air Pollution",4th & 5th
46A-46B,TE145.G37 - TJ265.S66,"Traffic & Highway Engineering, Architectural Design, Solar House, Energy Resources, Control System Engineering, Micro-controller Technology, Thermal Physics",4th & 5th
46A-46B,TJ778.C6 - TK5101.G598,"Renewable Energy, Sustainable Energy, Power System Analysis, Electrical Engineering, Electric Circuits, Network Analysis, Telecommunications",4th & 5th
47A-47B,TK5101.H37 - TK5102.9.P757,"Communication Systems, Electronic Communication, Communication Engineering, Teletraffic, Digital Signal",4th & 5th
47A-47B,TK5102.9.L38 - TK5103.59.K44,"Digital Signal, Telecommunication Engineering, Wireless Networks, Information Technology Optical Networks",4th & 5th
48A-48B,TK5103.59.S46 - TK5105.5A28,"Optical Fiber, Digital Communication, Satellite, Data Communication & Network, Google",4th & 5th
48A-48B,TK5105.5.A73 - TK5105.8865.V648,"Computer Networks, CISSP, TCP/IP, CGI, Security, LAN, Engineering Internet, IP Telephone, VOIP Technologies",4th & 5th
49A-49B,TK5105.888.G63 - TK7867.N5523,"Web Technologies, ASP Net, Radio Frequency Engineering, Mobile Telecommunication, Radar, Electronic, Microelectronics",4th & 5th
49A-49B,TK7867.S39 - TK7874.C85,"Microelectronic Circuits, Digital Logic Design, Electronic Devices, Metamaterials, Operational Amplifiers, Antenna Theory, Semi-conductor Devices, Adaptative Filter Theory",4th & 5th
50A-50B,TK7874.C744 - TK7895.G36W64,"Circuit Design, Microelectronics, VLSI Design, Microwave Devices & Circuits, Power Electronics, Speech Signal Processing, VHDL, Digital Logic and Design",4th & 5th
50A-50B,TK7895.M4C44 - TS155.H3725,"Computer Engineering, Aviation, Petroleum Geophysics, Biotechnology, Plant, Antibiotics, Biogas, Operation Management",4th & 5th
51A-51B,TS155.H3726 - TX335.T76,"Operation Management, ISO, TQM, RFID, Garment Export, Manufacturing, Planning and Control System",4th & 5th
51A-51B,TX345.54945 - ZA4230.C56,"Food- Technology, Nutrition; Hospitality & Tourism, Nuclear Strategy, Defense Planning, Arms Control, Graphic Design, Library Management",4th & 5th
52A-52B,QD115.R54 - QD31.3.K68,"Inorganic Chemistry, Organic Chemistry, Organic Mechanism, Organic Spectroscopy, General Chemistry, Chemistry for Engineering",4th & 5th
52A-52B,QD31.3.M66 - QE38.P48,"Chemistry- Pharmacy, General Chemistry, Biochemistry, Physical Chemistry, Geology, Earth Science, Environmental Geology",4th & 5th
53A-53B,QE5.L28 - QH430.L4,"Geology, Environmental Change, Ecology, Biology, Biostatistics, Bioinformatics, Python Programming, Genetic Biochemistry, DNA Sequence",4th & 5th
53A-53B,QH430.S68 - QH541.T828,"Genetics, Bioinformatics, Genomics, Gene Cloning, Molecular Biology, Ecosystem, Environmental Science, Ecology",4th & 5th
54A-54B,QH541.T828 - QK99.14K57,"Environmental Science, River Management, Ecology, Toxicology, Water Pollution, Cell, Taxonomy, Plants, Physiology, Molecular Biology, Mycology, Phytochemistry",4th & 5th
54A-54B,QK99.14K57 - QP514.2.T4,"Wild Life, Natural History, Myrmecology, Developmental Biology, Anatomy, Human Histology, Nutrition, Digestion, Endocrinology, Physiology, Neuroscience, Neuro Chemistry, Neuro Biology, Psychology, Biochemistry",4th & 5th
55A-55B,QQP514.2.V64 - QR41.2.T67,"Biochemistry, Protein Science, Pharmacology, Microbial Ecology, Vaccines, Virology, Bacterial Pathogenesis, Microorganisms, Microbiology, Taxonomy",4th & 5th
55A-55B,RA441.5.A57 - RA1218.5.P54,"Anthropology, Microbiology, Wastewater, Laboratory Experiment, Molecular, Bacterial Systematics, Health Technology, Medical Education, Toxicology",4th & 5th
56A-56B,RA1221.C55 - RA773,"Toxicology, Xenobiotics, Health-mathematics, Economics, Management, Ethics & Equity, Education; Environmental Health, Risk Assessment, Nutrition, Biostatistics, Epidemiology",4th & 5th
56A-56B,RA776 - RC46.D24,"Health, Hospital-Administration, Pharmacy- Practice, Case Study, Pathology, Clinical Chemistry, Oncology, Neuroscience, Psychopathology, Psychology, Medicine",4th & 5th
57A-57B,RC46.D24 - RJ42.U5H36,"Medicine, Psychotherapy, Hematology, Endocrinology, Roentgenology, Nuclear Pharmacy, Cardiology, Pregnancy, Ophthalmology, Child Health & Nutrition",4th & 5th
57A-57B,RJ48.5.S468 - RM300.T75,"Pediatrics, Toxicology, Skin, Pharmacology, Nutrition, Diet, Therapeutics",4th & 5th
58A-58B,RM300.U339 - RS12.2.B46,"Pharmacology, Drug Discovery & Evaluation, Clinical Pharma, Drug Interactions, Epidemiology, Drug Handling, Pharmacy Management",4th & 5th
58A-58B,RS122.2B46 - RS192.H53,"Pharmaceutical Practice, Pharmacy- Laboratory Procedures, European Pharmacopoeia, Pharmacognosy, Pharmaceutical Process Engineering",4th & 5th
59A-59B,RS192.L33 - RS403.M34,"Pharmaceutical Engineering, Nanotechnology, Pharmaceutical Compounding and Dispensing, Drug Delivery, Biotechnology, Medicinal Chemistry",4th & 5th
59A-59B,RS403.P38 - RZA2169,"Medicinal Chemistry, Modern Pharmaceutical-analysis, Chemistry, Technology, Drug Design & Action",4th & 5th
60A-61B,PL1125.495.18342.S32 - PL2690.S31253895.134G913,"Chinese Language, History of China, Chinese Films & TV, Arts, Chinese Literature, Law, Beijing, Society, Religion",4th & 5th
60A-61B,ND1460.C68246745.0951C441 - NK7183.AW3613,"Chinese Arts, Literature, Economy, History, English-Chinese Dictionary, Geography, Heritage Sites, Culture, Revolution, Diplomates",4th & 5th
